Year,Hospitals,Public Health,Administration,COVID-19 Response Funding,Total,Province
2022,0.6612446589716825,39.05747229305632,11.080660404201904,-75.4995416863938,0.0,Alta.
2023,3.028641301772228,-5.9106864139964905,0.7296685804450531,0.0,0.0,Alta.
2024,-5.001219370022591,24.454866394677826,19.713960710432836,0.0,0.0,Alta.
2024,0.0,0.0,0.0,0.0,0.0,Alta.
2020,1952.2058933047608,388.1638470629035,31.27479441269928,286.63346608750794,5443.398124887418,Alta.
2021,1999.7772126225743,402.4602324448354,34.423148568745205,373.4408921665763,5644.720088029167,Alta.
2022,2044.6359499232335,568.4462235512004,38.83838168778629,92.93261580812994,5733.429702973191,Alta.
2023,2164.009317077594,549.4331348328088,40.18867534699668,0.0,5889.787869229,Alta.
2024,2099.9760644979874,698.4959903762482,49.14571737604368,0.0,6016.401913765688,Alta.
2020,0.3269928268331501,-1.348073116829518,0.2465587011918568,0.0,4.849633763359695,Alta.
2021,2.4367982640029595,3.6830800936531016,10.066746129488614,30.28516776633696,3.6984611179053273,Alta.
2022,2.243186741878622,41.24283040290606,12.82634884552638,-75.11450466258081,1.571550290547652,Alta.
2023,5.838367811093326,-3.344747124822633,3.476699080989309,0.0,2.7271314789946155,Alta.
2024,-2.95901002247444,27.130299593015785,22.287477633214326,0.0,2.149721642746738,Alta.
2024,0.0,0.0,0.0,0.0,0.0,Alta.
2020,8925.165264677205,1793.0435902213278,260.9412435014569,1777.527020355967,25945.8857511901,B.C.
2021,9242.458091515424,1908.1765481374152,284.3244972788365,2244.533358681786,28641.089359169782,B.C.
2022,10187.606848509897,2470.807693686484,333.4374378364471,550.7164156321545,30103.9611637245,B.C.
2023,10808.279360955214,2606.563199367996,359.3094712758794,0.0,32795.17868350881,B.C.
2024,12312.930216307775,2914.638961978506,400.082839306573,0.0,36720.35128266321,B.C.
2020,3.744507084726556,5.290618683316195,4.197910540982819,0.0,12.481691191509036,B.C.
2021,3.555035872489176,6.42109085043916,8.961118397233768,26.272812338588068,10.387788005487764,B.C.
2022,10.226162213947386,29.485277245350105,17.27355223614293,-75.46410199242527,5.10759833960841,B.C.
2023,6.092427021132063,5.494377649397819,7.759186732991474,0.0,8.939745521022168,B.C.
2024,13.921280206617316,11.819232416279355,11.34770199235513,0.0,11.968748934208984,B.C.
2024,0.0,0.0,0.0,0.0,0.0,B.C.
